dataset,arch,seed,remove_dom,debias,compression_rate,nb_dims_pca,disable_dp,sigma,max_per_sample_grad_norm,epoch,step,loss
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,218,0.5244908928871155
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,219,0.4900391101837158
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,220,0.5113874673843384
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,221,0.45736953616142273
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,222,0.465203195810318
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,223,0.4750042259693146
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,224,0.48799028992652893
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,225,0.4960135519504547
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,226,0.5388367772102356
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,227,0.4846397936344147
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,228,0.48656779527664185
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,229,0.5207732915878296
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,230,0.5228323936462402
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,231,0.4887534976005554
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,232,0.4688064754009247
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,233,0.43572136759757996
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,1,234,0.492933064699173
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,235,0.40344977378845215
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,236,0.40823832154273987
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,237,0.4290868639945984
mnist,ResNet8GN_w16_g8,5,False,True,1,200,False,1.0,1.0,2,238,0.4657042920589447
